p_buy,p_sell,p_battery_chg,p_battery_dch,soc_battery,p_desalination,p_water_pump,water_tank_chg,water_tank_dch,water_tank_level,water_desalination,z,water_demand,electricity_demand,c_buy,c_sell,water_tank_dch*water_tank_level
729.363,0,-250,0,237.5,-379.363,0,-75,0,7.425,125,0,50,100,90,70,0
251.745,0,0,0,237.5,-151.745,0,0,0,7.425,50,0,50,100,90,70,0
597.39,0,-250,0,475,-247.39,0,-1.51515,0,7.575,81.5152,0,80,100,90,70,0
596.726,0,-26.3158,0,500,-470.41,0,-75,0,15,155,0,80,100,90,70,0
373.141,0,0,0,500,-273.141,0,0,0,15,90,0,90,100,90,70,0
373.141,0,0,0,500,-273.141,0,0,0,15,90,0,90,100,90,70,0
373.141,0,0,0,500,-273.141,0,0,0,15,90,0,90,100,110,90,0
403.49,0,0,0,500,-303.49,0,0,0,15,100,0,100,100,110,90,0
403.49,0,0,0,500,-303.49,0,0,0,15,100,0,100,100,110,90,0
403.49,0,0,0,500,-303.49,0,0,0,15,100,0,100,100,110,90,0
514.188,0,0,0,500,-364.188,0,0,0,15,120,0,120,150,110,90,0
113.43,0,0,250,236.842,-212.952,-0.477344,0,49.8322,9.96644,70.1678,747.483,120,150,125,105,496.65
414.02,0,0,0,236.842,-263.703,-0.317161,0,33.11,6.622,86.89,496.65,120,150,125,105,219.254
222.633,0,0,225,0,-297.423,-0.210731,0,21.9993,4.39985,98.0007,329.989,120,150,125,105,96.7935
469.967,0,0,0,0,-319.827,-0.140016,0,14.617,2.92339,105.383,219.254,120,150,125,105,42.7311
484.806,0,0,0,0,-334.713,-0.0930308,0,9.71194,1.94239,110.288,145.679,120,150,125,105,18.8643
494.666,0,0,0,0,-344.604,-0.0618124,0,6.4529,1.29058,113.547,96.7935,120,150,125,105,8.32798
263.703,0,0,0,0,-112.969,-0.734332,0,12.7767,0,37.2233,0,50,150,125,105,0
251.745,0,0,0,0,-151.745,0,0,0,0,50,0,50,100,110,90,0
342.792,0,0,0,0,-242.792,0,0,0,0,80,0,80,100,110,90,0
342.792,0,0,0,0,-242.792,0,0,0,0,80,0,80,100,110,90,0
373.141,0,0,0,0,-273.141,0,0,0,0,90,0,90,100,110,90,0
373.141,0,0,0,0,-273.141,0,0,0,0,90,0,90,100,110,90,0
373.141,0,0,0,0,-273.141,0,0,0,0,90,0,90,100,110,90,0
